ClassName,WMC,DIT,NOC,CBO,RFC,LCOM,Ca,Ce,NPM,LCOM3,LOC,DAM,MOA,MFA,CAM,IC,CBM,AMC ,CBO/WMC/LCO
com.ntou.APIApplication,2,1,0,2,4,1,0,2,2,2,10,0,0,0,0.5,0,0,4,0.1
,,,,,,,,,,,,,,,,,,,
com.ntou.GlobalUrlPrefixConfigCreditcard,3,1,0,3,8,3,0,3,2,2,19,0,0,0,0.4444,0,0,5.3333,0.052631579
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.findbycidandcardtype.GetCardHolder,3,1,0,17,30,1,0,17,2,0.5,89,1,0,0,0.6667,0,0,28.3333,0.063670412
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.findbycidandcardtype.GetCardHolderController,2,1,0,4,8,1,0,4,2,1,24,0,0,0,0.75,0,0,10.5,0.083333333
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.findbycidandcardtype.GetCardHolderRC,7,2,0,1,10,13,0,1,4,0.7778,81,0.5,4,0.75,0.3333,1,1,9.7143,0.001763668
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.findbycidandcardtype.GetCardHolderReq,12,1,0,2,18,38,0,2,11,0.5758,195,1,0,0,0.4722,1,1,15,0.000854701
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.findbycidandcardtype.GetCardHolderRes,3,2,0,2,4,1,0,2,3,0.5,14,1,0,0.8182,0.6667,0,0,3.3333,0.047619048
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.findbycidandcardtypeisactivated.GetActivatedCardHolder,3,1,0,17,32,1,0,17,2,0.5,93,1,0,0,0.6667,0,0,29.6667,0.0609319
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.findbycidandcardtypeisactivated.GetActivatedCardHolderController,2,1,0,4,10,1,0,4,2,1,30,0,0,0,0.75,0,0,13.5,0.066666667
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.findbycidandcardtypeisactivated.GetActivatedCardHolderRC,7,2,0,1,10,13,0,1,4,0.7778,81,0.5,4,0.75,0.3333,1,1,9.7143,0.001763668
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.findbycidandcardtypeisactivated.GetActivatedCardHolderReq,16,1,0,2,22,72,0,2,15,0.68,305,1,0,0,0.4792,1,1,17.75,0.000409836
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.findbycidandcardtypeisactivated.GetActivatedCardHolderRes,3,2,0,2,4,1,0,2,3,0.5,14,1,0,0.8182,0.6667,0,0,3.3333,0.047619048
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.savecuscredit.CreateCuscredit,4,1,0,19,87,4,0,19,2,0.6667,221,1,0,0,0.6667,0,0,54,0.021493213
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.savecuscredit.CreateCuscreditController,2,1,0,4,5,1,0,4,2,1,14,0,0,0,0.75,0,0,5.5,0.142857143
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.savecuscredit.CreateCuscreditRC,7,2,0,1,10,13,0,1,4,0.7857,94,0.4286,5,0.75,0.3333,1,1,11.4286,0.001519757
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.savecuscredit.CreateCuscreditReq,58,1,0,2,64,1395,0,2,57,0.913,1460,1,0,0,0.4943,1,1,23.7241,2.36E-05
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.savecuscredit.CreateCuscreditRes,3,2,0,2,4,1,0,2,3,0.5,14,1,0,0.8182,0.6667,0,0,3.3333,0.047619048
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.updateactivationrecord.UpdateActivationRecord,4,1,0,18,34,4,0,18,2,0.6667,104,1,0,0,0.6667,0,0,24.75,0.043269231
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.updateactivationrecord.UpdateActivationRecordController,2,1,0,4,5,1,0,4,2,1,14,0,0,0,0.75,0,0,5.5,0.142857143
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.updateactivationrecord.UpdateActivationRecordRC,7,2,0,1,10,13,0,1,4,0.7778,81,0.5,4,0.75,0.3333,1,1,9.7143,0.001763668
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.updateactivationrecord.UpdateActivationRecordReq,12,1,0,2,18,38,0,2,11,0.5758,195,1,0,0,0.4722,1,1,15,0.000854701
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.updateactivationrecord.UpdateActivationRecordRes,1,2,0,1,2,0,0,1,1,2,4,0,0,1,1,0,0,3,0.25
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.updatecardapprovalstatus.UpdateCardApprovalStatus,4,1,0,17,42,4,0,17,2,0.6667,120,1,0,0,0.6667,0,0,28.75,0.035416667
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.updatecardapprovalstatus.UpdateCardApprovalStatusController,2,1,0,4,5,1,0,4,2,1,14,0,0,0,0.75,0,0,5.5,0.142857143
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.updatecardapprovalstatus.UpdateCardApprovalStatusRC,7,2,0,1,10,13,0,1,4,0.7778,81,0.5,4,0.75,0.3333,1,1,9.7143,0.001763668
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.updatecardapprovalstatus.UpdateCardApprovalStatusReq,22,1,0,2,28,173,0,2,21,0.7976,415,1,0,0,0.4848,1,1,17.5,0.000219058
,,,,,,,,,,,,,,,,,,,
com.ntou.db.api.updatecardapprovalstatus.UpdateCardApprovalStatusRes,1,2,0,1,2,0,0,1,1,2,4,0,0,1,1,0,0,3,0.25
,7.37037037,1.37037037,0,5.037037037,18,66.92592593,0,5.037037037,6.296296296,0.923674074,140.3703704,0.57142963,0.777777778,0.303874074,0.596192593,0.37037037,0.37037037,13.72567037,0.059621404
